timestamp	job_id	title	company	date	link
2025-08-18T07:37:31.068429	4287301162	Graduate Software Engineer (relocate to Milan)	Bending Spoons	2025-08-17	https://de.linkedin.com/jobs/view/graduate-software-engineer-relocate-to-milan-at-bending-spoons-4287301162?position=3&pageNum=5&refId=uY4NcThAxcq7496h30i1jA%3D%3D&trackingId=BbxLENwWGSsNXIuk50P5yw%3D%3D
2025-08-18T07:37:26.764912	4287095829	Graduate Software Engineer (relocate to London)	Bending Spoons	2025-08-17	https://de.linkedin.com/jobs/view/graduate-software-engineer-relocate-to-london-at-bending-spoons-4287095829?position=1&pageNum=5&refId=uY4NcThAxcq7496h30i1jA%3D%3D&trackingId=mJ0JHQUdNWeqT5jHQOU%2FAw%3D%3D
2025-08-18T07:37:24.684898	4287095886	Graduate Software Engineer	Bending Spoons	2025-08-17	https://de.linkedin.com/jobs/view/graduate-software-engineer-at-bending-spoons-4287095886?position=10&pageNum=2&refId=lbmtcNXbjoPvUp%2FaE%2FuqLA%3D%3D&trackingId=fTavnxTIkV%2FtTvyOANi9XQ%3D%3D
2025-08-18T07:37:20.397450	4287095848	Graduate Software Engineer	Bending Spoons	2025-08-17	https://de.linkedin.com/jobs/view/graduate-software-engineer-at-bending-spoons-4287095848?position=8&pageNum=2&refId=lbmtcNXbjoPvUp%2FaE%2FuqLA%3D%3D&trackingId=omP6t%2FQYJgyiAubyn2PpIw%3D%3D
2025-08-18T07:37:18.328960	4287097215	Graduate Software Engineer	Bending Spoons	2025-08-17	https://de.linkedin.com/jobs/view/graduate-software-engineer-at-bending-spoons-4287097215?position=7&pageNum=2&refId=lbmtcNXbjoPvUp%2FaE%2FuqLA%3D%3D&trackingId=OsgcsNBq5Ihfgm7pmnYAwA%3D%3D
2025-08-18T07:37:14.169625	4287302030	Graduate Software Engineer	Bending Spoons	2025-08-17	https://de.linkedin.com/jobs/view/graduate-software-engineer-at-bending-spoons-4287302030?position=5&pageNum=2&refId=lbmtcNXbjoPvUp%2FaE%2FuqLA%3D%3D&trackingId=t18lmBM%2FThRbtve5WqRWSA%3D%3D
2025-08-18T07:37:12.101207	4287097231	Graduate Software Engineer	Bending Spoons	2025-08-17	https://de.linkedin.com/jobs/view/graduate-software-engineer-at-bending-spoons-4287097231?position=4&pageNum=2&refId=lbmtcNXbjoPvUp%2FaE%2FuqLA%3D%3D&trackingId=MWpfdkb2rRVM5dGfjtvJlQ%3D%3D
2025-08-18T07:37:07.783353	4287302000	Graduate Software Engineer	Bending Spoons	2025-08-17	https://de.linkedin.com/jobs/view/graduate-software-engineer-at-bending-spoons-4287302000?position=2&pageNum=2&refId=lbmtcNXbjoPvUp%2FaE%2FuqLA%3D%3D&trackingId=s3f3uF8bjNy9D6JpAuXOig%3D%3D
2025-08-18T07:37:05.717864	4287097297	Graduate Software Engineer	Bending Spoons	2025-08-17	https://de.linkedin.com/jobs/view/graduate-software-engineer-at-bending-spoons-4287097297?position=1&pageNum=2&refId=lbmtcNXbjoPvUp%2FaE%2FuqLA%3D%3D&trackingId=u9fjDPGzQ5zGDexF9Lv1hA%3D%3D
2025-08-18T07:36:52.690853	4287300155	Graduate Software Engineer (relocate to Milan)	Bending Spoons	2025-08-17	https://de.linkedin.com/jobs/view/graduate-software-engineer-relocate-to-milan-at-bending-spoons-4287300155?position=56&pageNum=0&refId=HQiHAmU9PgMBSEvgtmGMaA%3D%3D&trackingId=w%2BWlJjIyUx4l%2FSBiXIPrGA%3D%3D
